"V4","V5"
2003,5
2003,5
2003,5
2004,3
2004,5
2004,5
2004,2
2004,5
2004,5
2004,6
2004,6
2004,6
2005,4
2005,4
2005,4
2005,5
2005,5
2005,4
2005,2
2005,4
2005,4
2005,1
2005,6
2005,6
2005,6
2005,6
2005,6
2005,6
2005,6
2005,6
2005,5
2005,6
2005,5
2005,6
2005,6
2005,6
2005,6
2005,6
2005,6
2005,4
2005,6
2005,1
2005,6
2005,6
2005,4
2005,2
2005,6
2005,6
2005,5
2005,6
2005,5
2005,4
2005,6
2005,4
2005,5
2005,4
2005,6
2005,6
2005,5
2005,5
2005,4
2005,6
2005,6
2005,5
2005,6
2005,4
2005,4
2005,5
2005,6
2005,5
2005,4
2005,2
2005,2
2005,6
2005,6
2005,6
2005,6
2005,6
2005,2
2005,6
2005,5
2005,5
2005,1
2005,6
2005,4
2005,6
2005,5
2006,1
2006,2
2006,3
2006,3
2006,2
2006,2
2006,2
2006,3
2006,4
2006,3
2006,4
2006,1
2006,1
2006,6
2006,3
2006,1
2006,3
2006,3
2006,5
2006,2
2006,4
2006,2
2006,6
2006,1
2006,2
2006,1
2006,2
2006,1
2006,4
2006,1
2006,1
2006,4
2006,6
2006,3
2006,2
2006,6
2006,6
2006,6
2006,6
2006,6
2006,2
2006,3
2006,3
2006,6
2006,3
2006,2
2006,2
2006,2
2007,3
2007,2
2007,3
2007,3
2007,3
2007,3
2008,6
2009,3
2009,2
2009,2
2009,2
2009,2
2010,3
2011,1
2011,3
2011,6
2011,1
2011,6
2011,3
2012,1
2012,3
2012,3
2012,1
2012,4
2013,4
2013,1
2013,1
2013,1
2013,1
2013,4
2013,1
2013,1
2013,4
2013,4
2013,1
2013,4
2013,1
2013,1
2013,3
2013,1
2014,1
2014,1
2014,1
2015,6
